"Jacqueline D. Reses > Square Financial Services, Inc. > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors)",,
,,
1st Degree Table: 213 Connections,,
"Chambers, Karla S.","Stahlbush Island Farms, Inc. - Co-Founder",Federal Reserve Bank of San Francisco
"Chen, David Y.","Equilibrium Capital Group, LLC - CEO, Chairman & Director",Federal Reserve Bank of San Francisco
"Cherashore, Grace Evans",Federal Reserve Bank of San Francisco - Former Director of Los Angeles Branch,Federal Reserve Bank of San Francisco
"Clark, Ian T.",Blackstone Life Sciences - Former Operating Partner,Federal Reserve Bank of San Francisco
"Cleveland, Tom",Federal Reserve Bank of San Francisco - Former Vice Chairman of Advisory Council,Federal Reserve Bank of San Francisco
"Clubb, Megan F.",Baker Boyer Bancorp - Chairwoman of the Board,Federal Reserve Bank of San Francisco
"Collins, Paula Robinson",Presidio Trust - Chair,Federal Reserve Bank of San Francisco
"Compton, S. Randolph","Pioneer Trust Bank, N.A. - Co-Chairman & Co-CEO",Federal Reserve Bank of San Francisco
"Cook, Kermit J.",KKR & Co. Inc. - Former MD & Co-Head KKR Capstone Americas,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Craver Jr., Theodore F.",Mission Energy Holding Company - Director,Federal Reserve Bank of San Francisco
"Cunha Jr., Manuel",Community Hospitals of Central California - Trustee,Federal Reserve Bank of San Francisco
"Dahlberg, Edwin E.","Vizient, Inc. - Former Director",Federal Reserve Bank of San Francisco
"Daly, Mary C.",Federal Reserve Bank of San Francisco - President & CEO,Federal Reserve Bank of San Francisco
"Davidson, Rick ",Federal Reserve Bank of San Francisco - Former Chief Operating Officer,Federal Reserve Bank of San Francisco
"Davis, Wade Cullen",Viacom Inc. - Former Executive VP & CFO,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Decker Jr., Richard W.","Belvedere Capital Fund II-A, L.P. - Former Chairman and Co-Founder",Federal Reserve Bank of San Francisco
"Deutch, Philip Joseph","Energy Technology Partners, LLC - Managing Partner",Social Capital Hedosophia Holdings Corp. (NYSE:IPOA)
"Dionne CFA, John D.",Blackstone Distressed Securities Advisors L.P. - Founder and Chief Investment Officer,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Donegan, Robert C.","Cost-U-Less, Inc. - Director",Federal Reserve Bank of San Francisco
"Dooley, Elizabeth J.",Educational Employees Credit Union - President & CEO,Federal Reserve Bank of San Francisco
"Doss, David E.",OneAZ Credit Union - Former President & CEO,Federal Reserve Bank of San Francisco
"Dozier, La Shelle",Federal Reserve Bank of San Francisco - Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Dressel, Melanie J.","Columbia Banking System, Inc. - Former Executive Vice President",Federal Reserve Bank of San Francisco
"Dunn, Ronald G.","Cengage Learning Acquisitions, Inc. - President, Chief Executive Officer and Director","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Durbin, Dean D.","Trusted Media Brands, Inc. - Chief Financial Officer","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Ecke III, Paul ",The Paul Ecke Ranch Inc. - Former Chief Executive Officer,Federal Reserve Bank of San Francisco
"Ekholm, E. Börje","Telefonaktiebolaget LM Ericsson (publ) - President, CEO & Director",Alibaba Group Holding Limited (NYSE:BABA)
"Ellis, Bryan D.","Scout Media Holdings, Inc. - Chief Executive Officer and President","Scout Media Holdings, Inc."
"Ely, Jamison C.",KKR & Co. Inc. - Director and Head of Apex Credit,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Evans, J. Michael ",Alibaba Group Holding Limited - President & Director,Alibaba Group Holding Limited (NYSE:BABA)
"Evensen, Nancy","Scout Media Holdings, Inc. - Former Chief Executive Officer and President","Scout Media Holdings, Inc."
"Fitzsimons, Paul ",Jacana Venture Partnership LLP - Investment Director,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Francis, Philip L.",At Home Group Inc. - Independent Director,Federal Reserve Bank of San Francisco
"Galanti, Richard A.","Costco Wholesale Corporation - Executive VP, CFO & Director",Federal Reserve Bank of San Francisco
"Gardner, Steven R.","Pacific Premier Bancorp, Inc. - Chairman, President & CEO",Federal Reserve Bank of San Francisco
"Garrabrants, Gregory ","Axos Financial, Inc. - President, CEO & Director",Federal Reserve Bank of San Francisco
"Garris, John","Wrap Media, LLC - Co-Founder and Senior Vice President of Platform","Wrap Media, LLC"
"Garufis, Janet A.",Montecito Bank & Trust - Chairman & CEO,Federal Reserve Bank of San Francisco
"Gleason, Jack H.",Federal Reserve Bank of San Francisco - Former Member of Economic Advisory Council,Federal Reserve Bank of San Francisco
"Glynn, William C.","Petroglyph Energy, Inc. - Vice Chairman and President of Intermountain Industries Inc",Federal Reserve Bank of San Francisco
"Goldsmith II, Russell D.",Republic Pictures Corp. - Former Chairman and Chief Executive Officer,Federal Reserve Bank of San Francisco
"Gonzalez, Paulina ",Federal Reserve Bank of San Francisco - Former Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Goodwin, Lewis B.","Square Financial Services, Inc. - CEO & Director","Square Financial Services, Inc."
"Gore, Carol ",Federal Reserve Bank of San Francisco - Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Gould, Mark A.",Federal Reserve Bank of San Francisco - COO & First VP,Federal Reserve Bank of San Francisco
"Greenberg, Eric","Wrap Media, LLC - Founder, Chairman and Chief Executive Officer ","Wrap Media, LLC"
"Grisham, Arnold T.",DataSight Corporation - Vice Chairman,Federal Reserve Bank of San Francisco
"Gurney, Tamara G.","Mission Valley Bancorp - President, CEO & Director",Federal Reserve Bank of San Francisco
"Hall, Katheryn Ann","Hall Capital Partners LLC - Founder, Co-Chair & Board Member",Federal Reserve Bank of San Francisco
"Hansen, Michael E.","Cengage Learning Holdings II, Inc. - CEO & Director","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Harding, Gary ","Prime Alliance Bank, Inc. - Former President & CEO",Federal Reserve Bank of San Francisco
"Harris, Jay T.",Federal Reserve Bank of San Francisco - Former Director,Federal Reserve Bank of San Francisco
"Harris, Sheila D.",Federal Reserve Bank of San Francisco - Former Deputy Chairman,Federal Reserve Bank of San Francisco
"Hartnack, Richard C.",Synchrony Financial - Independent Non Executive Chairman of the Board,Federal Reserve Bank of San Francisco
"Hartung, Christopher J.",IBuilding - Chief Executive Officer,IBuilding
"Hatch, Robert Allen",Regence BlueCross BlueShield of Utah - Former President,Federal Reserve Bank of San Francisco
"Heckman Jr., James Charles","TheMaven, Inc. - Founder, CEO & Director","Scout Media Holdings, Inc."
"Herbert II, James H.","First Republic Bank - Founder, Chairman & CEO",Federal Reserve Bank of San Francisco
"Hernández, Sandra R.","California HealthCare Foundation, Inc.",Federal Reserve Bank of San Francisco
"Hinshaw, Roger W.",Federal Reserve Bank of San Francisco - Former Director of Portland Branch,Federal Reserve Bank of San Francisco
"Ho, Peter S.","Bank of Hawaii Corporation - Chairman, President & CEO",Federal Reserve Bank of San Francisco
"Hobbs, William B. R.","Trend Technologies, LLC - Former Chief Executive Officer","Trend Technologies, LLC"
"Holley, Rick R.",Weyerhaeuser Company - Independent Non-Executive Chairman,Federal Reserve Bank of San Francisco
"Holoman, Eric Leon","EquiTrust Life Insurance Company, Inc. - CEO, President & Director",Federal Reserve Bank of San Francisco
"Horner, C. Alan",First Federal Savings Bank of Twin Falls - Former Director,Federal Reserve Bank of San Francisco
"Hotchkiss, Malcolm F.","Golden Pacific Bank, N.A. - Executive VP & COO",Federal Reserve Bank of San Francisco
"Hymas, Scott L.","RC Willey Home Furnishings, Inc. - Chief Executive Officer",Federal Reserve Bank of San Francisco
"Ivory, Clark","Ivory Homes, Ltd. - Chief Executive Officer",Federal Reserve Bank of San Francisco
"Jamason, Cherie ",Federal Reserve Bank of San Francisco - Former Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Jin, Jianhang ",Alibaba Group Holding Limited - Former President,Alibaba Group Holding Limited (NYSE:BABA)
"Jing, Xiandong ","Zhejiang Ant Financial Services Group Co., Ltd. - Executive Chairman",Alibaba Group Holding Limited (NYSE:BABA)
"Johansen, Judith Ann","Schnitzer Steel Industries, Inc. - Independent Director",Federal Reserve Bank of San Francisco
"Johnson, Philip B.","Federal Reserve Bank of San Francisco - Senior Vice President of District Cash Operations, Facilities and Workplace Services",Federal Reserve Bank of San Francisco
"Jones, William D.","CityLink Investment Corporation - President, Chief Executive Officer and Director",Federal Reserve Bank of San Francisco
"Judd, John P.","Federal Reserve Bank of San Francisco - Former Senior Vice President, Director of Research and Member of Economic Advisory Council",Federal Reserve Bank of San Francisco
"Kauhane, Michelle ",Federal Reserve Bank of San Francisco - Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Knauss, Donald R.",McKesson Corporation - Independent Director,Federal Reserve Bank of San Francisco
"Kwauk, Teh Ming ",Alibaba Group Holding Limited - Independent Director,Alibaba Group Holding Limited (NYSE:BABA)
"Lawer, Roxanna E.",First National Bank Alaska - Chair & CEO,Federal Reserve Bank of San Francisco
"Leader, Kevin C.",Bechtel Corporation - Treasurer,Federal Reserve Bank of San Francisco
"Leahy, John J.","Keane Inc. - Former CFO, Principal Accounting Officer and Executive VP of Finance & Administration","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Lee, Karen T.",Pioneer Human Services - Chief Executive Officer,Federal Reserve Bank of San Francisco
"Lee, Lewis C.",Federal Reserve Bank of San Francisco - Member of Economic Advisory Council,Federal Reserve Bank of San Francisco
"Leeds, Greg",Wizards of the Coast LLC - Chief Executive Officer,Federal Reserve Bank of San Francisco
"Levinsohn, Ross B.","Scout Media, Inc. - Executive Chairman","Scout Media Holdings, Inc."
"Lu, Zhaoxi ",Alibaba.com Limited - Executive Director,Alibaba Group Holding Limited (NYSE:BABA)
"Lukatsevich, Rostislav ","Scout Media Holdings, Inc. - Director","Scout Media Holdings, Inc."
"Ma, Yun ",Alibaba Group Holding Limited - Founder & Director,Alibaba Group Holding Limited (NYSE:BABA)
"Martello, Wan Ling",Alibaba Group Holding Limited - Independent Director,Alibaba Group Holding Limited (NYSE:BABA)
"Matsubayashi, Dean ",Federal Reserve Bank of San Francisco - Former Chairman of Community Advisory Council,Federal Reserve Bank of San Francisco
"Mayne, Ed P.",Federal Reserve Bank of San Francisco - Former Member of Economic Advisory Council,Federal Reserve Bank of San Francisco
"McGee, Liam E.","The Hartford Financial Services Group, Inc. - Former Executive Chairman of the Board",Federal Reserve Bank of San Francisco
"McNally, Jack",Federal Reserve Bank of San Francisco - Former Director,Federal Reserve Bank of San Francisco
"McNamara, Rebecca ","Cengage Learning Holdings II, Inc. - Chief Integration Officer","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"McNaughton, Stanley William","PEMCO Mutual Insurance Company - Chairman, President & CEO",Federal Reserve Bank of San Francisco
"McNicol, Paul M.","Scout Media Holdings, Inc. - Executive Director","Scout Media Holdings, Inc."
"Mehran, Alexander R.",Federal Reserve Bank of San Francisco - Former Chairman of the Board,Federal Reserve Bank of San Francisco
"Meyer, Barry M.",Federal Reserve Bank of San Francisco - Chairman of the Board,Federal Reserve Bank of San Francisco
"Michelman, Sanford L.",Federal Reserve Bank of San Francisco - Director,Federal Reserve Bank of San Francisco
"Miller, Connie J.",Icon Credit Union - President & CEO,Federal Reserve Bank of San Francisco
"Mooney, Michael Mark",United Heritage Life Insurance Company - Director,Federal Reserve Bank of San Francisco
"Moore, John F.",Federal Reserve Bank of San Francisco - Former Chief Operating Officer and First Vice President ,Federal Reserve Bank of San Francisco
"Morin, Irma ",Federal Reserve Bank of San Francisco - Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Myers, Daniel P.",Western Alliance Bancorporation - Executive Vice President of Northern California Administration,Federal Reserve Bank of San Francisco
"Nelson, Carol Kobuke",KeyBank National Association - Former Pacific Regional Sales Executive,Federal Reserve Bank of San Francisco
"Ng, Dominic ","East West Bancorp, Inc. - Chairman, President & CEO",Federal Reserve Bank of San Francisco
"Nordstrom, Blake W.","Nordstrom, Inc. - Former Co-President & Director",Federal Reserve Bank of San Francisco
"O’Kelly, Ciaran ","Square Financial Services, Inc. - Director","Square Financial Services, Inc."
"O'Neill, Michael E.","Citibank Europe plc, Sucursal en Espana - Chairman of the Board",Federal Reserve Bank of San Francisco
"Osborne, Ian ",Social Capital Hedosophia Holdings Corp. - Former President & Director,Social Capital Hedosophia Holdings Corp. (NYSE:IPOA)
"Packard, Matt Calvin","Central Bancorporation (Provo, UT) - Chairman & CEO",Federal Reserve Bank of San Francisco
"Palihapitiya, Chamath ",Social Capital Hedosophia Holdings Corp. - Former CEO & Chairman,Social Capital Hedosophia Holdings Corp. (NYSE:IPOA)
"Parry, Robert T.",Federal Reserve Bank of San Francisco - Former President,Federal Reserve Bank of San Francisco
"Paul, David ","Square Financial Services, Inc. - Director","Square Financial Services, Inc."
"Paul, Vivek ",Akansa Capital - Founder,Federal Reserve Bank of San Francisco
"Paulson, Tim ",Federal Reserve Bank of San Francisco - Former Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Payton, Earl ","Trend Technologies, LLC - Chief Executive Officer","Trend Technologies, LLC"
"Pelham, Eugene L.",Rogue Credit Union - President & CEO,Federal Reserve Bank of San Francisco
"Pelo, John E.","Key Technology, Inc. - Independent Director",Federal Reserve Bank of San Francisco
"Peng, Lei ","Zhejiang Ant Financial Services Group Co., Ltd. - Director",Alibaba Group Holding Limited (NYSE:BABA)
"Pike, Lynn Ann",Hiscox Ltd - Independent Non Executive Director,Federal Reserve Bank of San Francisco
"Pugh, Mary E.","Pugh Capital Management, Inc. - Chief Executive Officer",Federal Reserve Bank of San Francisco
"Quiñonez, José A.",Federal Reserve Bank of San Francisco - Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Rainer, David I.",CU Bancorp - Former Chairman & CEO,Federal Reserve Bank of San Francisco
"Ramirez, Robert D.",Vantage West Credit Union - Former President & CEO,Federal Reserve Bank of San Francisco
"Ransford Ph.D., Mark ",Actis LLP - Director of West Africa,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Rao, Shubhi Suryaji",Federal Reserve Bank of San Francisco - Former Member of Economic Advisory Council,Federal Reserve Bank of San Francisco
"Renaud, Paul G.",Sleeman Breweries Ltd. - Director,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Richards R.N., Patricia Rae","SelectHealth, Inc. - President, CEO & Director",Federal Reserve Bank of San Francisco
"Robertson, Joseph E.",Federal Reserve Bank of San Francisco - Former Director of Portland Branch,Federal Reserve Bank of San Francisco
"Rogers, T. Gary",Shorenstein Company LP - Member of the Advisory Board,Federal Reserve Bank of San Francisco
"Rubenstein, Gordon","Standard Renewable Energy Group, LLC - Vice President of Business Development and Director","Wrap Media, LLC"
"Rudd, James Harold","Ferguson Wellman Capital Management, Inc. - Director, CEO & Portfolio Manager",Federal Reserve Bank of San Francisco
"Rumpf, Bill ",Federal Reserve Bank of San Francisco - Former Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Russell, Harald R.",Commencement Bancorp Inc. - Founder & Chairman of the Board,Federal Reserve Bank of San Francisco
"Ryans, James ",Social Capital Hedosophia Holdings Corp. - Former Independent Director,Social Capital Hedosophia Holdings Corp. (NYSE:IPOA)
"Ryback, Andrew J.","Plumas Bancorp - President, CEO & Director",Federal Reserve Bank of San Francisco
"Sale, Andrew J.",Federal Reserve Bank of San Francisco - Former Director of Los Angeles Branch,Federal Reserve Bank of San Francisco
"Sanborn, Richard M.","Seacoast Commerce Banc Holdings - President, CEO & Director",Federal Reserve Bank of San Francisco
"Sandvik, Helvi Kay","Alaska Air Group, Inc. - Independent Director",Federal Reserve Bank of San Francisco
"Sanford, James L.",Northrop Grumman Corporation - Former Corporate Vice President,Federal Reserve Bank of San Francisco
"Sarnoff, Richard ","KKR & Co. Inc. - Partner, Member of Americas Private Equity & Chairman of Media, Entertainment & Education, Americas","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Scalise, George Martin","Intermolecular, Inc. - Former Lead Independent Director",Federal Reserve Bank of San Francisco
"Schierhorn, Joseph M.","Northrim BanCorp, Inc. - Chairman, President, CEO & COO",Federal Reserve Bank of San Francisco
"Schwarzberg, Deborah K.","MedVue Holdings, LLC - President and Director","MedVue Holdings, LLC"
"Schwarzberg, Josh","MedVue Holdings, LLC - Director","MedVue Holdings, LLC"
"Seldon, Willa E.","The Bridgespan Group, Inc. - Partner of San Francisco Operations",Federal Reserve Bank of San Francisco
"Sewill, Ann E.",Federal Reserve Bank of San Francisco - Former Director of Los Angeles Branch,Federal Reserve Bank of San Francisco
"Shaffer, David H.","Cengage Learning Acquisitions, Inc. - Chairman","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Shepherd, J. Michael",Bank of the West - Chairman of the Board,Federal Reserve Bank of San Francisco
"Shorenstein J.D., Douglas W.","Shorenstein Company LP - Former Chairman, Chief Executive Officer, and Member of the Advisory Board",Federal Reserve Bank of San Francisco
"Skaff, Daniel Lawrence","Beneficial State Bancorp, Inc. - Vice Chairman of the Board",Federal Reserve Bank of San Francisco
"Son, Masayoshi ","SoftBank Group Corp. - Founder, Chairman of the Board & CEO",Alibaba Group Holding Limited (NYSE:BABA)
"Sondag, Eric R.","Searchlight Capital Partners, L.P. - Partner","Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Sood CPA, Sachin",Social Capital Hedosophia Holdings Corp. - Former Chief Financial Officer,Social Capital Hedosophia Holdings Corp. (NYSE:IPOA)
"Soto CPA, Brandon ","Square Financial Services, Inc. - Chief Financial Officer","Square Financial Services, Inc."
"Stahl, Christian ",Amlon Capital LLP - Founding Partner,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Steinberg, Jonathan",Cheddar Inc. - President and Director,IBuilding
"Steinwert, Kent A.","Farmers & Merchants Bancorp - Chairman, President & CEO",Federal Reserve Bank of San Francisco
"Stuart, Robert A.",OnPoint Community Credit Union - President & CEO,Federal Reserve Bank of San Francisco
"Stumpf, John G.","Wells Fargo Funding, LLC - Former President & CEO",Federal Reserve Bank of San Francisco
"Sznewajs, Robert D.","Banc of California, Inc. - Independent Chairman of the Board",Federal Reserve Bank of San Francisco
"Talton, Carl ",Federal Reserve Bank of San Francisco - Member of Community Advisory Council,Federal Reserve Bank of San Francisco
"Tang, David K. Y.",K&L Gates LLP - Managing Partner of Asia,Federal Reserve Bank of San Francisco
"Taylor, Nicole C.",East Bay Community Foundation - Former Chief Executive Officer and President,Federal Reserve Bank of San Francisco
"Thomas, Peter M.","Thomas & Mack Co, LLC - Managing Director",Federal Reserve Bank of San Francisco
"Thompson, Mary Patricia B.","MWI Veterinary Supply, Inc. - Former CFO, Principal Accounting Officer and Senior VP of Finance & Administration",Federal Reserve Bank of San Francisco
"Tsai, Joseph C. ",Alibaba Group Holding Limited - Executive Vice Chairman,Alibaba Group Holding Limited (NYSE:BABA)
"Tung, Chee Hwa",Alibaba Group Holding Limited - Independent Director,Alibaba Group Holding Limited (NYSE:BABA)
"Turner, Rosemary L.","United Parcel Service, Inc. - President",Federal Reserve Bank of San Francisco
"Uriarte, Marcelo Gigliani",Apax Partners LLP - Partner,"Cengage Learning Holdings II, Inc. (OTCPK:CNGO)"
"Vallee, Roy A.","Avnet Technology Solutions, Inc. - Former Chairman & CEO",Federal Reserve Bank of San Francisco
"Vice, Thomas E.",Northrop Grumman Aerospace Systems - President,Federal Reserve Bank of San Francisco
"Wada, Albert T.",Wada Farms Marketing Group LLC - Chairman,Federal Reserve Bank of San Francisco
"Whyte, W. Don",Federal Reserve Bank of San Francisco - Former Director of Salt Lake City Branch,Federal Reserve Bank of San Francisco
"Wiest, Candace Diane Hunter",West Valley National Bank - Former President & CEO,Federal Reserve Bank of San Francisco
"Wilcox, Kenneth Parmalee",SVB Financial Group - Chairman Emeritus,Federal Reserve Bank of San Francisco
"Willey, Duff",Federal Reserve Bank of San Francisco - Former Member of Advisory Board,Federal Reserve Bank of San Francisco
"Williams, John C.",Federal Reserve Bank of San Francisco - Former President & CEO,Federal Reserve Bank of San Francisco
"Wilmoth, Stanley C.",Heritage Bank Of Nevada - Former President & CEO,Federal Reserve Bank of San Francisco
"Wilson, Barbara L.",Highway 12 Ventures - Member of Advisory Board,Federal Reserve Bank of San Francisco
"Wong, Andrea L.",Hudson's Bay Company - Independent Director,Social Capital Hedosophia Holdings Corp. (NYSE:IPOA)
"Wu, Wei ",Alibaba.com Limited - Executive Director,Alibaba Group Holding Limited (NYSE:BABA)
"Wu, Yongming ",Etao.com - President,Alibaba Group Holding Limited (NYSE:BABA)
"Yang, Chih-Yuan ",AME Cloud Ventures - Founder & Founding Partner,Alibaba Group Holding Limited (NYSE:BABA)
"Yarrington, Patricia E.",Chevron Corporation - Former VP & CFO,Federal Reserve Bank of San Francisco
"Yellen, Janet Louise",Federal Reserve Bank of San Francisco - Former Chief Executive Officer and President,Federal Reserve Bank of San Francisco
"Young, Thomas C.",Northwest Bancshares Inc. - Former Chairman & President,Federal Reserve Bank of San Francisco
"Yu, Yongfu ",Alibaba Pictures Group Limited - Former Executive Director,Alibaba Group Holding Limited (NYSE:BABA)
"Zhang, Yong ",Alibaba Group Holding Limited - CEO &  Executive Chairman,Alibaba Group Holding Limited (NYSE:BABA)
"Zinn, George ",Microsoft Corporation - Corporate VP & Treasurer,Federal Reserve Bank of San Francisco
,,
"2nd Degree Table: 14,611 Connections",,
Person,Primary Company,Connection to 1st Degree
"A. Cisneros, Gustavo ",RRE Ventures LLC - Senior Advisor,"Barrick Gold Corporation (TSX:ABX) (Evans, J. Michael )"
"A. Ferrero, Pablo ",Sempra Energy - Independent Director,"Sempra Energy (NYSE:SRE) (Jones, William D.)"
"Abaunza, Carlos A.","American Media, Inc. - Former Senior Vice President","American Media Operations, Inc. (Durbin, Dean D.), American Media, Inc. (Durbin, Dean D.)"
"Abbey, Douglas D.",Swift Realty Partners LLC - Chairman,"Pacific LifeCorp (Shepherd, J. Michael), Pacific Mutual Holding Company (Shepherd, J. Michael)"
"Abbott, Bill","The Advertising Council, Inc. - Director","The Advertising Council, Inc. (Bain, Adam )"
"Abbott, Dave","The Advertising Council, Inc. - Director","The Advertising Council, Inc. (Bain, Adam )"
"Abdelaziz, Gamal Mohammed","Kiwi Collection, Inc. - Member of Advisory Board","Wynn Resorts, Limited (NasdaqGS:WYNN) (Goldsmith, Russell D.)"
"Abel, Gordon ","Dynasty Financial Partners, LLC - Chief Marketing Officer","The Advertising Council, Inc. (Bain, Adam )"
"Abel, Gregory Edward",PacifiCorp - Former Chairman & CEO,"PacifiCorp (Johansen, Judith Ann)"
"Abele, Peter",AUDI AG - Former Member of the Management Board,"Scania AB (publ) (Ekholm, E. Börje)"
"Abercrombie, Cynthia L.","Banc of California, N.A. - Former Director","Banc of California, Inc. (NYSE:BANC) (Holoman, Eric Leon), Banc of California, Inc. (NYSE:BANC) (Sznewajs, Robert D.), Banc of California, N.A. (Holoman, Eric Leon), Banc of California, N.A. (Sznewajs, Robert D.)"
"Åberg, Karin ",Telefonaktiebolaget LM Ericsson (publ) - Former Employee Representative Director,"Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B) (Ekholm, E. Börje)"
"Abernethy, Robert J.",Loyola Marymount University - Trustee,"Loyola Marymount University (McGee, Liam E.)"
"Abi-Karam, Leslie R.",TFI International Inc. - Independent Director,"Pentair plc (NYSE:PNR) (Bryan, Glynis A.)"
"Ablon, R. Richard",Joyce Theatre Foundation - Trustee,"Joyce Theatre Foundation (Herbert, James H.)"
"Abony, Lorne K.","Aphria International Inc. - President, CEO & Director","Glu Mobile Inc. (NasdaqGS:GLUU) (Skaff, Daniel Lawrence)"
"Abraham Ph.D., Magid M.","xAd, Inc. - Director","The Advertising Council, Inc. (Bain, Adam )"
"Abraham, Seth G.",MSG Networks Inc. - Former Chief Executive Officer of Radio City Entertainment,"NYC2012, Inc. (Shepherd, J. Michael)"
"Abrams, George S.","HPT SN Holding, Inc. - Independent Director","Viacom Inc. (NasdaqGS:VIAB) (Davis, Wade Cullen)"
"Abrams, Julie Castro","National Council Of La Raza, Inc. - Director","Beneficial State Bank (Skaff, Daniel Lawrence)"
"Abramson, Leonard",The Brookings Institution - Honorary Trustee,"The Brookings Institution (Blum, Richard Charles)"
"Abramson, Michael C.",San Francisco Ballet Association - Trustee Emeritus,"San Francisco Ballet Association (Herbert, James H.), San Francisco Ballet Association (Mehran, Alexander R.)"
"Abruzzese, Joseph ",Discovery Networks U.S. - President,"National Association of Television Program Executives (Wong, Andrea L.), The Advertising Council, Inc. (Bain, Adam )"
"Abundis, Susan",Community Hospitals of Central California - Former Chairwoman,"Community Hospitals of Central California (Cunha, Manuel)"
"Abusow, Kathy","Sustainable Forestry Initiative, Inc - Chief Executive Officer and President","Sustainable Forestry Initiative, Inc (Holley, Rick R.)"
"Accavitti, Michael J.","The Advertising Council, Inc. - Director","The Advertising Council, Inc. (Bain, Adam )"
"Accinno, Peter","Environmental Defense Fund, Inc. - Chief Financial Officer, Vice President of Administration, Vice President of Finance and Treasurer","Environmental Defense Fund, Inc. (Shorenstein, Douglas W.)"
"Ach CFA, Laurence E.",Klingenstein Fields Wealth Advisors - Senior Vice President,"First Republic Investment Management, Inc. (Herbert, James H.)"
