"Michael  Ovitz > Creative Artists Agency, LLC > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors)",,
,,
1st Degree Table: 138 Connections,,
"Danhakl, John G.","Leonard Green & Partners, L.P. - Managing Partner","J.Crew Group, Inc."
"Davis, Chris A.",Aviall Inc. - Director,Gulfstream Aerospace Corporation
"Davis, Fred ","ARTISTdirect, Inc. - Director","Doppelganger, Inc."
"De Rothschild, Lynn Forester",LNG Holdings S.A. - Co-Chairman of the Board,Gulfstream Aerospace Corporation
"Drexler, Millard S.","J.Crew Group, Inc. - Strategic Advisor to Office of the CEO & Board","J.Crew Group, Inc."
"Durkin, Joan M.",LHI Liquidation Co. Inc. - Chief Financial Officer and Senior Vice President of Finance,"J.Crew Group, Inc."
"Farbman, Seth ","J.Crew Group, Inc. - Director","J.Crew Group, Inc."
"Feintuch, Richard D.","J.Crew Group, Inc. - Director","J.Crew Group, Inc."
"Flynn, Larry R.",General Aviation Manufacturers Association - Director,Gulfstream Aerospace Corporation
"Forester, Lynn","LNG Holdings S.A. - Co-Chairman, Co-CEO of FirstMark Communications International L L C & CEO of FirstMark Holdings Inc",Gulfstream Aerospace Corporation
"Forstmann, Nicholas C.",Forstmann Little & Co. - Former Co-Founder and General Partner,Gulfstream Aerospace Corporation
"Forstmann, Theodore J.",Gulfstream Aerospace Corporation - Former Chairman of the Board and Chief Executive Officer,"Gulfstream Aerospace Corporation, Yankee Holding Corp."
"Frey, Dale F.",GE Investments - Former Chairman of the Board and President,Yankee Holding Corp.
"Gabler, Lee","Creative Artists Agency, LLC - Former Co Chairman and Head of Television","Creative Artists Agency, LLC"
"Gilbertson, Scott R.",TPG Growth - Partner,"J.Crew Group, Inc."
"Grand-Jean, Steven Douglas","Grand-Jean Capital Management, Inc. - President","J.Crew Group, Inc."
"Greenlees, Michael Edward",Rockabox Media Ltd. - Chairman of The Board,"Creative Artists Agency, LLC"
"Hartman, Bruce A.","rue21, Inc. - Director",Yankee Holding Corp.
"Haselden, Stuart C.",Lululemon Athletica Inc. - Former COO & Executive VP of International,"J.Crew Group, Inc."
"Hasker, Stephen John","Creative Artists Agency, LLC - Chief Executive Officer of CAA Global","Creative Artists Agency, LLC"
"Heiliger, Jonathan G.","Coolan, Inc. - Founder",Opsware Inc.
"Hines, Michael F.","Galyan's Trading Company, LLC - Vice President, Secretary and Treasurer",Yankee Holding Corp.
"Holt, Courtney William","Maker Studios, Inc. - Head of Maker Studios and Executive Vice President","Doppelganger, Inc."
"Homer, Michael",Kollective Technology Inc. - Co-Founder,Opsware Inc.
"Horbach, Sandra J.",The Carlyle Group Inc. - MD & Co-Head of U.S. Buyout,"Gulfstream Aerospace Corporation, Yankee Holding Corp."
"Horowitz, Benjamin A.","Usermind, Inc. - Founder",Opsware Inc.
"House, David C.",Raycliff Acquisition Corp. - President and Director,"J.Crew Group, Inc."
"Howes Ph.D., Timothy A.",ClearStory Data Inc. - Chief Technology Officer,Opsware Inc.
"Hunt, Gregory William",Apollo Investment Corporation - CFO & Treasurer,Yankee Holding Corp.
"Huvane, Kevin S.","Creative Artists Agency, LLC - Managing Partner and Director","Creative Artists Agency, LLC"
"Kent, Harlan M.",Yankee Holding Corp. - Director,Yankee Holding Corp.
"Killough, Walter","dELiA*s Group, Inc. - Director","J.Crew Group, Inc."
"Kissinger, Henry Alfred",The Paley Center for Media - Trustee,Gulfstream Aerospace Corporation
"Kittredge, Michael J.",Yankee Holding Corp. - Former Chairman,Yankee Holding Corp.
"Klinsky, Steven Bruce",Inmar Holdings Inc. - Director and Executive Officer,Yankee Holding Corp.
"Lamberti, Nicholas","J.Crew Group, Inc. - Former Vice President and Corporate Controller","J.Crew Group, Inc."
"Leat, Chad A.","J.Crew Group, Inc. - Chairman","J.Crew Group, Inc."
"Lee, James","Doppelganger, Inc. - Founder and Chief Financial Officer","Doppelganger, Inc."
"Levinsohn, Ross B.","Scout Media, Inc. - Executive Chairman","Doppelganger, Inc."
"Levinson, Linda Fayne",Jacobs Engineering Group Inc. - Independent Director,"Creative Artists Agency, LLC"
"Lewis Jr., Andrew ","Mafco Consolidated Group, Inc. - Director",Gulfstream Aerospace Corporation
"Littlefield, Andrew","Doppelganger, Inc. - Founder, Chief Creative Officer and Executive Director","Doppelganger, Inc."
"Lombardo, Joseph T.",Gulfstream Aerospace Corporation - Former Executive Vice President of Aerospace Business Group - General Dynamics,Gulfstream Aerospace Corporation
"Lorne, Simon Michael",Millennium Management LLC - Chief Legal Officer & Vice Chairman,Opsware Inc.
"Lourd, Bryan ","Creative Artists Agency, LLC - Co-Chairman, Managing Director and Partner","Creative Artists Agency, LLC"
"Lovett, Richard ","Creative Artists Agency, LLC - President and Managing Partner","Creative Artists Agency, LLC"
"Lyons, Jenna ",Shake Shack Inc. - Independent Director,"J.Crew Group, Inc."
"Macejko Jr., Thomas T.",Yankee Holding Corp. - Director,Yankee Holding Corp.
"McCarthy, Lisa K.","Yankee Holding Corp. - CFO, Principal Accounting Officer, Senior VP of Finance & Treasurer",Yankee Holding Corp.
"McCormack, Mark H.","IMG Worldwide, LLC - Former Founder",Gulfstream Aerospace Corporation
"Meyrowitz, Carol M.","The TJX Companies, Inc. - Executive Chairman",Yankee Holding Corp.
"Moss, Bryan T.","Jet Support Services, Inc. - Vice-Chairman and Member of Advisory Board",Gulfstream Aerospace Corporation
"Nicholls, Jamie C.",Cold Spring Harbor Laboratory Inc. - Chairman of the Board of Trustees,Yankee Holding Corp.
"Nicholson, Michael J.","J.Crew Group, Inc. - President & COO","J.Crew Group, Inc."
"Nicita, Rick","Morgan Creek Productions, Inc. - Co-Chairman and Chief Operating Officer","Creative Artists Agency, LLC"
"O'Connell, Robert J.","MassMutual Holding LLC - President, CEO and Chairman",Yankee Holding Corp.
"Parry, Michael D.",Yankee Holding Corp. - Former Chief Executive Officer and President,Yankee Holding Corp.
"Paulson, Allen E.",Gulfstream Aerospace Corporation - Former Director,Gulfstream Aerospace Corporation
"Peinado, George A.",CDW Finance Corporation - Director,Yankee Holding Corp.
"Penske Sr., Roger S.","Penske Automotive Group, Inc. - Chairman & CEO",Gulfstream Aerospace Corporation
"Perley Jr., James A.",Yankee Holding Corp. - COO & Executive VP,Yankee Holding Corp.
"Pfeifle, Jeffrey A.","J.Crew Group, Inc. - Former President","J.Crew Group, Inc."
"Polk, Michael B.","Newell Brands Inc. - Former CEO, President & Director",Yankee Holding Corp.
"Powell, Colin L.",Kleiner Perkins Caufield & Byers - Strategic Advisor,Gulfstream Aerospace Corporation
"Rachleff, Andrew S.","Wealthfront Advisers, LLC - Director, Executive Chairman & CEO",Opsware Inc.
"Reisman, Heather M.","Indigo Books & Music Inc. - Founder, Chairman & CEO","J.Crew Group, Inc."
"Roche, Gerard R.","Heidrick & Struggles International, Inc. - Former Senior Chairman",Gulfstream Aerospace Corporation
"Rolnick, Michael P.","PLAYSTUDIOS, Inc. - Founder","Doppelganger, Inc."
"Rosen, Scott M.","Equinox Holdings, Inc. - President. COO & CEO","J.Crew Group, Inc."
"Rosenberg, Paul ","Def Jam Recordings, Inc. - Chief Executive Officer","Doppelganger, Inc."
"Rubel, Michael ","Creative Artists Agency, LLC - Managing Partner","Creative Artists Agency, LLC"
"Rumsfeld, Donald","Firetide, Inc. - Senior Advisor",Gulfstream Aerospace Corporation
"Ryan-Berman, Bridget M.",MidOcean Partners LLP - Member of Executive Board,"J.Crew Group, Inc."
"Rydin, Craig W.","LNK Partners, LLC - Operating Partner",Yankee Holding Corp.
"Sargent, Ronald L.","Staples Contract and Commercial, Inc. - Chairman of Staples Inc and Chief Executive Officer of Staples Inc",Yankee Holding Corp.
"Sarvary, Mark A.",Icynene-Lapolla - Former President & CEO,"J.Crew Group, Inc."
"Scheel, Eric","Doppelganger, Inc. - Chief Operating Officer","Doppelganger, Inc."
"Schiff, David","Doppelganger, Inc. - Member of Board of Advisor","Doppelganger, Inc."
"Scott, Emily Cinader","The Nantucket Project, LLC - Co-Founder","J.Crew Group, Inc., Yankee Holding Corp."
"Scott, Thomas W.",PWD1 LLC - Co-Founder and Co-Chairman,"J.Crew Group, Inc."
"Scully, James S.","J.Jill, Inc. - Interim CEO & Director","J.Crew Group, Inc."
"Selati, Robin Paul","Madison Dearborn Partners, LLC - Senior Advisor",Yankee Holding Corp.
"Sherwood III, Roderick M.",CompuDyne Corporation - Chairman and Vice President,Opsware Inc.
"Shultz, George Pratt","Gilead Sciences, Inc. - Former Board Advisor & Director Emeritus",Gulfstream Aerospace Corporation
"Simoudis Ph.D., Evangelos",Synapse Partners - Co-Founder & MD,"Doppelganger, Inc."
"Singh Cassidy, Sukhinder ","Tique, Inc. - Former Founder & Chairman","J.Crew Group, Inc."
"Sloan, Stuart M.",Anixter International Inc. - Former Director,"J.Crew Group, Inc."
"Sokoloff, Jonathan D.","Leonard Green & Partners, L.P. - Managing Partner","J.Crew Group, Inc."
"Solomon, Michael ","J.Crew Group, Inc. - Director","J.Crew Group, Inc."
"Spellman, Robert R.","LNK Partners, LLC - Operating Partner",Yankee Holding Corp.
"Squeri, Stephen Joseph",American Express Company - Chairman & CEO,"J.Crew Group, Inc."
"Stavropoulos, Andreas ",Threshold Ventures - Partner,"Doppelganger, Inc."
"Stevens J.D., Timothy J.","QuinStreet, Inc. - Senior Vice President","Doppelganger, Inc."
"Strauss, Robert S.",Akin Gump Strauss Hauer & Feld LLP - Former Founder and Partner,Gulfstream Aerospace Corporation
"Stuligross, Dennis",Gulfstream Aerospace Corporation - Senior Vice President of Operations,Gulfstream Aerospace Corporation
"Sullivan, Trudy F.",The Talbots Inc. - Director,"J.Crew Group, Inc., Yankee Holding Corp."
"Swette, Brian Thomas","Sweet Earth, Inc. - President and Director","J.Crew Group, Inc."
"Vannelli, Vince ",KPG Ventures - Founder and Managing Partner,"Doppelganger, Inc."
"Vishwanath, Vijay","Staples, Inc. - Former Independent Director",Yankee Holding Corp.
"Volpi, Michelangelo A. ",Index Ventures SA - Partner & General Partner,Opsware Inc.
"Weston, Josh S.",Siemens Medical Solutions Health Services Corp. - Director,"J.Crew Group, Inc."
"Wheeler, Carrie A.","TPG Capital, L.P. - Former Partner and Head of Retail & Consumer Investing","J.Crew Group, Inc."
"Woods, Emily","J.Crew Group, Inc. - Former Chairman","J.Crew Group, Inc."
"Wright, Doreen A.","Crocs, Inc. - Independent Director",Yankee Holding Corp.
"Zanna, Vincent ","J.Crew Group, Inc. - CFO & Treasurer","J.Crew Group, Inc."
,,
"2nd Degree Table: 13,560 Connections",,
Person,Primary Company,Connection to 1st Degree
"A. Cisneros, Gustavo ",RRE Ventures LLC - Senior Advisor,"Council on Foreign Relations, Inc. (Powell, Colin L.), Univision Communications Inc. (Bonderman, David )"
"Aab, Richard T.","PaeTec Communications, LLC - Vice Chairman","PAETEC Holding, LLC (Davis, Chris A.)"
"Aaron, Hank","Boys & Girls Clubs of America, Inc. - Former Member of Board of Governors","Boys & Girls Clubs of America, Inc. (Powell, Colin L.)"
"Aaron, Thomas Jeffrey","Southwest Physicians Risk Retention Group, Inc. - Former President & Director","Community Health Systems, Inc. (NYSE:CYH) (Forstmann, Theodore J.), Community Health Systems, Inc. (NYSE:CYH) (Frey, Dale F.), Community Health Systems, Inc. (NYSE:CYH) (Horbach, Sandra J.)"
"Abbati, Edward M.","Location Labs, Inc. - Vice President of Finance","Location Labs Inc. (Stavropoulos, Andreas )"
"Abbott Ph.D., Michael R.","NBX, Inc. - Member of Advisory Board","Composite Software LLC (Simoudis, Evangelos)"
"Abbott, Swati Bargotra","Health Intelligence Company, LLC - President & CEO","Magellan Health, Inc. (NasdaqGS:MGLN) (Bonderman, David ), Magellan Health, Inc. (NasdaqGS:MGLN) (Coslet, Jonathan J.)"
"Abbrecht, Todd M.","Thomas H. Lee Partners, L.P. - Managing Director & Head of Private Equity","Aramark (NYSE:ARMK) (Sargent, Ronald L.), Dunkin' Brands Group, Inc. (NasdaqGS:DNKN) (Hines, Michael F.), Dunkin' Brands Group, Inc. (NasdaqGS:DNKN) (Horbach, Sandra J.), Party City Holdings Inc. (Meyrowitz, Carol M.)"
"Abdalla, Zein ","PepsiCo Europe Support Center, S.L. - President of Pepsico Inc","PepsiCo, Inc. (NasdaqGS:PEP) (Boyce, Richard W.), The TJX Companies, Inc. (NYSE:TJX) (Hines, Michael F.), The TJX Companies, Inc. (NYSE:TJX) (Meyrowitz, Carol M.)"
"Abdel, Raouf ","Equinix, Inc. (REIT) - Executive Vice President of Global Operations","Equinix, Inc. (Rachleff, Andrew S.), Equinix, Inc. (Volpi, Michelangelo A. ), Equinix, Inc. (REIT) (NasdaqGS:EQIX) (Rachleff, Andrew S.), Equinix, Inc. (REIT) (NasdaqGS:EQIX) (Volpi, Michelangelo A. )"
"Abe, Atsushi",Sangyo Sosei Advisory Inc. - Founder and Managing Partner,"Edwards Group Limited (Brenneman, Gregory Dean), ON Semiconductor Corporation (NasdaqGS:ON) (Bonderman, David ), ON Semiconductor Corporation (NasdaqGS:ON) (Boyce, Richard W.)"
"Åberg, Karin ",Telefonaktiebolaget LM Ericsson (publ) - Former Employee Representative Director,"Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B) (Singh Cassidy, Sukhinder ), Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B) (Volpi, Michelangelo A. )"
"Abizaid, John Philip","Torch Hill Investment Partners, L.L.C. - Partner","Council on Foreign Relations, Inc. (Powell, Colin L.)"
"Abraham, Julie A.","Scan-Optics, LLC - Chief Financial Officer","Mspark, Inc. (Klinsky, Steven Bruce)"
"Abraham, Lee",Signet Jewelers Limited - Former Non-Executive Director,"Signet Jewelers Limited (NYSE:SIG) (Burman, Terry Lee), Signet Jewelers Limited (NYSE:SIG) (Sokoloff, Jonathan D.)"
"Abraham, Lior ",Pioneer Fund - Venture Partner,"Interana Inc. (Volpi, Michelangelo A. )"
"Abraham, Robert T.",Pfizer Inc. - Former Senior Vice President & Group Head for Oncology-Rinat Research & Development,"Allogene Therapeutics, Inc. (NasdaqGS:ALLO) (Bonderman, David )"
"Abraham, Steven","Ooyala, Inc. - Member of The Advisory Board","Ooyala, Inc. (Volpi, Michelangelo A. )"
"Abram, Phil ","Sonos, Inc. - Former President & COO","Sonos, Inc. (NasdaqGS:SONO) (Volpi, Michelangelo A. )"
"Abramo, Mercedes",Jewelers of America - Director,"Jewelers of America (Burman, Terry Lee)"
"Abramowitz, Morton",International Rescue Committee - Director,"International Rescue Committee (Forstmann, Theodore J.), International Rescue Committee (Kissinger, Henry Alfred), International Rescue Committee (Weston, Josh S.)"
"Abramowski, Lou","8thBridge, Inc. - Co-Founder","8thBridge, Inc. (Simoudis, Evangelos)"
"Abrams, David M.","Cerberus European Capital Advisors, LLP - Senior Managing Director","NCL Corporation Ltd. (Leat, Chad A.), Norwegian Cruise Line Holdings Ltd. (NYSE:NCLH) (Leat, Chad A.)"
"Abuzaakouk, Anas ",BAWAG Group AG - Chairman of the Managing Board & CEO,"BAWAG P.S.K. (Leat, Chad A.)"
"Acavalos, Andreas",Openfund - Advisor,"Openfund (Simoudis, Evangelos)"
"Accordino, Daniel T.","Carrols Restaurant Group, Inc. - Chairman of the Board, President & CEO","Carrols Corporation (Selati, Robin Paul), Carrols Restaurant Group, Inc. (NasdaqGS:TAST) (Selati, Robin Paul)"
"Acharia-Bath, Anjula ",India Internet Fund - Advisor,"Desi Hits! Inc. (Simoudis, Evangelos), Desi Hits! Inc. (Stavropoulos, Andreas )"
"Achaval, Alejandro ","Praxair, Inc. - Former Director and Director of Praxair Argentina S.A","Praxair, Inc. (Frey, Dale F.)"
"Achleitner, Ann-Kristin ",ENGIE SA - Former Independent Director,"Praxair, Inc. (Frey, Dale F.)"
"Achlioptas, Dimitris",Openfund - Advisor,"Openfund (Simoudis, Evangelos)"
"Achuthan, Ashoka",ATC Technology Corporation - Former Chief Financial Officer and Vice President,"ATC Technology Corporation (Anderson, Robert E.), ATC Technology Corporation (Frey, Dale F.)"
"Ackerley, Christopher H.","Ackerley Partners, LLC - Partner, Managing Partner, Managing Director and Co-Founder","PWD1 LLC (Scott, Thomas W.)"
"Ackerman Ph.D., Peter",Crown Capital Group - Managing Director,"CATO Institute (Forstmann, Theodore J.), Council on Foreign Relations, Inc. (Powell, Colin L.)"
"Ackerman, F. Duane","United Parcel Service of America, Inc. - Director","Home Depot U.S.A., Inc. (Brenneman, Gregory Dean), The Home Depot, Inc. (NYSE:HD) (Brenneman, Gregory Dean), The Home Depot, Inc. (NYSE:HD) (Penske, Roger S.), The Home Depot, Inc. (NYSE:HD) (Sargent, Ronald L.)"
"Ackerman, Roger Graham","Dow Silicones Corporation - Director, Chairman of the Board-Corning Inc, CEO, President and COO of Corning Inc","Massachusetts Mutual Life Insurance Company (O'Connell, Robert J.)"
"Ackermann, Hilary E.",Vistra Corp. - Independent Director,"Apollo Investment Corporation (NasdaqGS:AINV) (Hunt, Gregory William)"
"Ackman, Ronnie","Lincoln Center for the Performing Arts, Inc. - Director","Lincoln Center for the Performing Arts, Inc. (Lourd, Bryan )"
"Ackman, William Albert","Pershing Square Capital Management, L.P. - Chief Executive Officer & Portfolio Manager","Automatic Data Processing, Inc. (NasdaqGS:ADP) (Brenneman, Gregory Dean), Automatic Data Processing, Inc. (NasdaqGS:ADP) (Weston, Josh S.), Ceridian Corporation (Chabraja, Nicholas D.)"
"Acosta, Arcilia C.","Southwestern Testing Laboratories, L.L.C. - Chief Executive Officer and President","Energy Future Holdings Corp. (Bonderman, David ), Magnolia Oil & Gas Corporation (NYSE:MGY) (Bonderman, David ), Magnolia Oil & Gas Corporation (NYSE:MGY) (Leat, Chad A.)"
"Acutis, Carlo ",Vittoria Assicurazioni S.p.A. - Chairman Emeritus,"Exor N.V. (BIT:EXO) (Volpi, Michelangelo A. )"
"Adair, Wendell",Motors Liquidation Company - Former Director,"Motors Liquidation Company (Bonderman, David )"
"Adami, Laurie S.",Interactive Data Fixed Income Analytics - Former Managing Director,"Governance Holdings Co. (Rubel, Michael )"
"Adamik, Brian ","GetConnected, Inc. - Director","GetConnected, Inc. (House, David C.)"
"Adams Jr., John K.",The Charles Schwab Corporation - Independent Director,"The Charles Schwab Corporation (NYSE:SCHW) (Shultz, George Pratt)"
"Adams Jr., Johnston C.",Unitas Capital Pte. Ltd. - Senior Advisor,"AutoZone, Inc. (NYSE:AZO) (Archbold, Michael G.)"
"Adams, Dale A.",DAS Holdings Inc. - Chairman & CEO,"Omnicom Group Inc. (NYSE:OMC) (Greenlees, Michael Edward)"
"Adams, Gerry","MOD Super Fast Pizza, LLC - Advisor & Director","MOD Pizza LLC (Brotman, Adam B.), MOD Super Fast Pizza, LLC (Brotman, Adam B.)"
"Adams, Glen",U.S. Home Corporation - Director,"Zale Corporation (Burman, Terry Lee)"
"Adams, John K.","SecurAmerica LLC - Former President, COO & Member of Advisory Board","SecurAmerica LLC (Bell, Thomas D.)"
"Adams, Kerry D.",Choice Properties Real Estate Investment Trust - Independent Trustee,"Indigo Books & Music Inc. (TSX:IDG) (Reisman, Heather M.)"
"Adams, Mark R.","Hechinger Company - Former Chief Financial Officer, Executive Vice President, Secretary, Treasurer and General Counsel","Hechinger Company (Danhakl, John G.), Hechinger Company (Sokoloff, Jonathan D.)"
"Adams, Mark W.",Philips LumiLeds Lighting Company LLC - Chief Executive Officer,"Seagate Technology plc (NasdaqGS:STX) (Bonderman, David ), Seagate Technology plc (NasdaqGS:STX) (Coulter, James George)"
"Adams, Michael A.","Bechtel National, Inc. - President Of Civil","Bechtel Corporation (Shultz, George Pratt), Bechtel Group, Inc. (Shultz, George Pratt)"
"Adams, Michael A.",RCN Corporation - Former Chief Strategy Officer and Director,"Rogers Cable Inc. (Reisman, Heather M.)"
"Adams, Michael F.","Georgia Research Alliance, Inc. - Former Trustee","Georgia Research Alliance, Inc. (Moss, Bryan T.)"
"Adams, Richard L.","Beringer Wine Estates Holdings, Inc. - Former Director","Beringer Wine Estates Holdings, Inc. (Bonderman, David ), Beringer Wine Estates Holdings, Inc. (Coulter, James George)"
"Adams, William M.","SurgiCount Medical, Inc. - Consultant","Patient Safety Technologies, Inc. (Rolnick, Michael P.)"
"Adamson, James B.",Sears Holdings Corporation - Former Chairman and Chief Executive Officer,"Restaurant Brands International Inc. (NYSE:QSR) (Bonderman, David ), Restaurant Brands International Inc. (NYSE:QSR) (Boyce, Richard W.), Restaurant Brands International Inc. (NYSE:QSR) (Brenneman, Gregory Dean), Restaurant Brands International Inc. (NYSE:QSR) (Swette, Brian Thomas), Sears Holdings Corporation (OTCPK:SHLD.Q) (Scott, Emily Cinader)"
"Adderley, Terence E.","Kelly Services, Inc. - Former Executive Chairman","Business Leaders for Michigan (Penske, Roger S.)"
"Addicks, Mark W.","The Advertising Council, Inc. - Director","Association of National Advertisers Inc. (Bifulco, Frank P.)"
"Addicott, Virginia C.",FedEx Corporation - Former CEO & President of FedEx Custom Critical,"CDW Corporation (NasdaqGS:CDW) (Peinado, George A.), CDW Corporation (NasdaqGS:CDW) (Selati, Robin Paul)"
"Adelson, Jay S.","Revision3 Corporation - Co-founder, Chairman and Advisor","Equinix, Inc. (Rachleff, Andrew S.), Equinix, Inc. (Volpi, Michelangelo A. ), Equinix, Inc. (REIT) (NasdaqGS:EQIX) (Rachleff, Andrew S.), Equinix, Inc. (REIT) (NasdaqGS:EQIX) (Volpi, Michelangelo A. )"
"Adelson, Mervyn L.",EastWest VentureGroup - Former Founding Partner and Chairman,"American Film Institute (Nicita, Rick), Warner Media, LLC (Powell, Colin L.)"
"Adiv, Gabriel","TuneUp Media, Inc. - Founder, Chief Executive Officer and Director","TuneUp Media, Inc. (Vannelli, Vince )"
"Adjemian, Vart K.","Murphy-Brown of Missouri, LLC - Director","Continental Grain Company Corp. (Kissinger, Henry Alfred)"
"Adkerson, Richard C.","Freeport-McMoRan Inc. - Vice Chairman, President & CEO","Freeport McMoRan Inc. (Kissinger, Henry Alfred), Freeport-McMoRan Inc. (NYSE:FCX) (Kissinger, Henry Alfred)"
"Adkins, Steven A.","Jamba, Inc. - Former Senior Vice President of Operations","Jamba, Inc. (Swette, Brian Thomas)"
"Adler, Michael B.","Yodle, Inc. - Director","Yodle, Inc. (Stavropoulos, Andreas )"
"Adolff, Peter",Robert Bosch GmbH - Former Member of Supervisory Council and Member of International Advisory Committee,"Robert Bosch GmbH (Kissinger, Henry Alfred)"
"Adsit Ph.D., Dennis",Intuit Inc. - Former Senior Vice President - Operations,"Intuit Inc. (NasdaqGS:INTU) (Campbell, William V.)"
"Adzema, Gregg D.",Cousins Properties Incorporated - Executive VP & CFO,"Cousins Properties Incorporated (NYSE:CUZ) (Bell, Thomas D.)"
"Afdhal, Nezam H.","Spring Bank Pharmaceuticals, Inc. - Chief Medical Officer","Gilead Sciences, Inc. (NasdaqGS:GILD) (Rumsfeld, Donald), Gilead Sciences, Inc. (NasdaqGS:GILD) (Shultz, George Pratt)"
"Affinito, Lilyan H.",Tambrands Inc. - Director,"Sears Holdings Corporation (OTCPK:SHLD.Q) (Scott, Emily Cinader)"
"Afif, Ammar",Curepet Corporation - Director,"Pronto Networks Inc. (Stavropoulos, Andreas )"
"Africk, Jack ","North Atlantic Trading Company, Inc. - Vice Chairman and Consultant","Tanger Factory Outlet Centers, Inc. (NYSE:SKT) (Ryan-Berman, Bridget M.), Tanger Properties Limited Partnership (Ryan-Berman, Bridget M.)"
"Afting, Ernst-Gunter ",Morphochem Aktiengesellschaft für kombinatorische Chemie - Chairman of Supervisory Board,"Warburg Pincus LLC (Frey, Dale F.)"
"Agadi, Harsha V.",Quiznos Canada Restaurant Corporation - Executive Chairman,"QCE Finance LLC (Brenneman, Gregory Dean)"
"Agarwal, Kamalnayan ","Aegis Communications Group, Inc. - Director","Aegis Communications Group, Inc. (Weston, Josh S.), ATC Communications Group (Lewis, Andrew )"
"Agarwal, Rajiv S.",Sudev Industries Ltd. - Chairman,"Aegis Communications Group, Inc. (Weston, Josh S.), ATC Communications Group (Lewis, Andrew )"
"Agate, Robert M.","Allied Waste Industries, Inc. - Former Director","Hexion Inc. (House, David C.)"
"Aggarwal, Prashant ","Sand Hill Angels, Inc. - Member","Lyft, Inc. (Horowitz, Benjamin A.)"
