"Lisa  Gersh > Martha Stewart Living Omnimedia, Inc. > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors)",,
,,
1st Degree Table: 153 Connections,,
"Postman, Alexandra S.","Martha Stewart Living Omnimedia, Inc. - Former Editor-in-Chief of Body & Soul","Martha Stewart Living Omnimedia, Inc."
"Reilly, Paul J.","comScore, Inc. - Former Director","comScore, Inc. (NasdaqGS:SCOR)"
"Riley, Susan J.","Vestis Retail Group, LLC - Chief Financial Officer","comScore, Inc. (NasdaqGS:SCOR)"
"Roach, Margaret","Martha Stewart Living Omnimedia, Inc. - Former Executive Vice President and Editor-in-Chief","Martha Stewart Living Omnimedia, Inc."
"Roney, Carley ",XO Group Inc. - Co-founder,XO Group Inc.
"Ronning, Randy Steven","QVC, Inc. - Former Chief Merchandising Officer and Executive Vice President",XO Group Inc.
"Rosenthal, Brent D.","comScore, Inc. - Independent Non-Executive Chairman","comScore, Inc. (NasdaqGS:SCOR)"
"Rosenwald Jr., E. John","Environmental Defense Fund, Inc. - Trustee","Hasbro, Inc. (NasdaqGS:HAS)"
"Roskin, William A.","Media & Entertainment Holdings, Inc. - Independent Director","Martha Stewart Living Omnimedia, Inc."
"Sachse, Peter R.",Compound - Advisor,XO Group Inc.
"Santer, Michael A.","Yesmail, Inc. - Director","comScore, Inc. (NasdaqGS:SCOR)"
"Scardino, Janet",Function(x) Inc. - Former Chief Executive Officer and Director,XO Group Inc.
"Schimel, Elizabeth ",Comcast Corporation - Former Senior Vice President of Content Development - Online Division,XO Group Inc.
"Segal Esq., Eli J.","Bits And Pieces, Inc. - Former Chief Executive Officer","Hasbro, Inc. (NasdaqGS:HAS)"
"Seligman, Naomi O.",Cassius Advisors - Senior Partner,"Martha Stewart Living Omnimedia, Inc."
"Shmidman, Yehuda R.","SBG Universe Brands, LLC - President","Martha Stewart Living Omnimedia, Inc."
"Siekman, Thomas C.","First Data Government Solutions, Inc. - Senior Vice President of State & Local Solutions","Martha Stewart Living Omnimedia, Inc."
"Singer, Bradley Eric",ValueAct Capital Management L.P. - Partner & COO,"Martha Stewart Living Omnimedia, Inc."
"Slacik, Claudia B.",Citigroup Inc. - Former Head of Trade Services and Finance,"Martha Stewart Living Omnimedia, Inc."
"Slotkin, Todd J.",Andrews Group Incorporated - Executive Vice President and Chief Financial Officer,"Martha Stewart Living Omnimedia, Inc."
"Smyth, Margaret M.","National Grid USA - CFO - US, Senior VP & Director","Martha Stewart Living Omnimedia, Inc."
"Spielvogel, Carl ","Barneys New York, Inc. - Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Steib, Michael F.","WeddingWire, Inc. - Co-CEO & Director",XO Group Inc.
"Stern, Paula ","Stern Group, Inc. - Chairwoman and President","Hasbro, Inc. (NasdaqGS:HAS)"
"Stewart, Martha ","Sequential Brands Group, Inc. - Director","Martha Stewart Living Omnimedia, Inc."
"Stiles, Sandra",XO Group Inc. - Former Special Adviser,XO Group Inc.
"Stoddart, Richard S.","InnerWorkings, Inc. - President, CEO & Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Strauss CFA, Matthew ",Comcast Corporation - Chairman of Peacock & NBCUniversal Digital Enterprises,XO Group Inc.
"Szefc, Richard E.","XO Group Inc. - Former Chief Financial Officer, Principal Accounting Officer, Secretary and Treasurer",XO Group Inc.
"Taitz, Daniel M.","Penthera Partners, Inc. - Chief Operating Officer, Executive Vice President and Director","Martha Stewart Living Omnimedia, Inc."
"Tarpey, Kenneth J.","Videology, Inc. - Former Chief Financial Officer","comScore, Inc. (NasdaqGS:SCOR)"
"Thomas, Deborah M.","Hasbro, Inc. - Executive VP & CFO","Hasbro, Inc. (NasdaqGS:HAS)"
"Turner, Kelli ",RSL Venture Partners - Managing General Partner,"Martha Stewart Living Omnimedia, Inc."
"Ubben, Jeffrey Williams",ValueAct Capital Management L.P. - Founder,"Martha Stewart Living Omnimedia, Inc."
"Verrecchia, Alfred Joseph",Iron Mountain Incorporated - Independent Chairman of the Board,"Hasbro, Inc. (NasdaqGS:HAS)"
"Verrecchia, Michael ",Cookie Jar Entertainment Holdings (USA) Inc. - Senior Vice President of Marketing,"Hasbro, Inc. (NasdaqGS:HAS)"
"Walker, Daniel E.","RiseSmart, Inc. - Member of Strategic Advisory Council","Martha Stewart Living Omnimedia, Inc."
"Walters, Christopher W.","Encompass Digital Media, Inc. - Chief Executive Officer","The Weather Channel Interactive, Inc."
"Werner, Tom ",Oxygen Media LLC - Co-Founder,Oxygen Media LLC
"Wesley III, Melvin F.",Cofense Inc. - CFO & Treasurer,"comScore, Inc. (NasdaqGS:SCOR)"
"West, Kenneth P.","Fareportal, Inc. - Former Chief Financial Officer","Martha Stewart Living Omnimedia, Inc."
"West, Mary Beth Elizabeth Stone",The Hershey Company - Former Transitional Executive Officer,"Hasbro, Inc. (NasdaqGS:HAS)"
"Wiener, Bryan J.",360i LLC - Executive Chairman,"comScore, Inc. (NasdaqGS:SCOR)"
"Wilson, Frederick R.","TargetSpot, Inc. - Executive Chairman of The Board","comScore, Inc. (NasdaqGS:SCOR)"
"Winblad, Ann L.","Hummer Winblad Venture Partners - Co-Founder, Founding Partner and Managing Director",XO Group Inc.
"Winfrey, Oprah ",HARPO Entertainment Group - Chairman and Chief Executive Officer,Oxygen Media LLC
"Zacharia, Michael","Martha Stewart Living Omnimedia, Inc. - Former Director","Martha Stewart Living Omnimedia, Inc."
"Zecher, Linda K.","Houghton Mifflin Harcourt Learning Technology, Inc. - Chief Executive Officer of Hmh and President of Hmh","Hasbro, Inc. (NasdaqGS:HAS)"
"Zeisser, Michael P.","Shutterfly, Inc. - Former Director",XO Group Inc.
,,
"2nd Degree Table: 17,169 Connections",,
Person,Primary Company,Connection to 1st Degree
"A. Valckenaere, Georges ","CaiFor, S.A. - Director","Assurant, Inc. (NYSE:AIZ) (Reilly, Paul J.)"
"Aalberts, J. ",Aalberts Investments - Chief Executive Officer,"NatWest Markets N.V. (Martinez, Arthur C.), RBS Holdings N.V. (Martinez, Arthur C.)"
"Aamir, Mir M.",Quotient Technology Inc. - Advisor,"Quotient Technology Inc. (NYSE:QUOT) (McKenna-Doyle, Michelle Robinette)"
"Aaron, Mark L.",Tiffany & Co. - Former Vice President of Investor Relations,"New York City Investment Fund Manager, Inc. (Wilson, Frederick R.)"
"Aaronson, Jack",The Aaronson Group - Founder and Chief Executive Officer ,"FreeHand Systems, Inc. (Koppelman, Charles A.)"
"Abbasi, Sohaib ","29West, Inc. - Chairman of Informatica Corp, CEO of Informatica Corp and President of Informatica Corp","McAfee LLC (Fuller, Dale L.), New Relic, Inc. (NYSE:NEWR) (Cochran, Hope F.)"
"Abbey, Victor G.","SeaWorld Entertainment, Inc. - Former Chairman and President","SeaWorld Entertainment, Inc. (NYSE:SEAS) (Thomas, Deborah M.)"
"Abbot, John F.","Cumulus Media Inc. - Former Executive VP, Treasurer & CFO","Insight Communications Company, Inc. (Laybourne, Geraldine B.), Insight Midwest, L.P. (Laybourne, Geraldine B.)"
"Abbott Jr., Joseph P.",Houghton Mifflin Harcourt Company - Executive VP & CFO,"Houghton Mifflin Harcourt Company (NasdaqGS:HMHC) (Greenthal, Jill A.), Houghton Mifflin Harcourt Company (NasdaqGS:HMHC) (Zecher, Linda K.), Houghton Mifflin Harcourt Publishing Company (Goldstein, Michael ), Houghton Mifflin Harcourt Publishing Company (Greenthal, Jill A.), Houghton Mifflin Harcourt Publishing Company (Malone, Claudine Berkeley) and 1 Other Connection"
"Abbott Ph.D., Michael R.","NBX, Inc. - Member of Advisory Board","Think Passenger, Inc. (Walker, Daniel E.)"
"Abbott, Bill","The Advertising Council, Inc. - Director","The Advertising Council, Inc. (Abraham, Magid M.), The Advertising Council, Inc. (Baum, Herbert M.), The Advertising Council, Inc. (Kelly, Michael J.), The Advertising Council, Inc. (Kenny, David W.), The Advertising Council, Inc. (Matta, Serge ) and 3 Other Connections"
"Abbott, Dave","The Advertising Council, Inc. - Director","The Advertising Council, Inc. (Abraham, Magid M.), The Advertising Council, Inc. (Baum, Herbert M.), The Advertising Council, Inc. (Kelly, Michael J.), The Advertising Council, Inc. (Kenny, David W.), The Advertising Council, Inc. (Matta, Serge ) and 3 Other Connections"
"Abbott, Martin L.","Sonifi Solutions, Inc. - Director","Sonifi Solutions, Inc. (Mohn, Jarl )"
"Abbott, Robert B.",Norwest Venture Partners - General Partner and Venture Partner,"Brand.net, Inc. (Garrick, George R.)"
"Abbott, Swati Bargotra","Health Intelligence Company, LLC - President & CEO","Magellan Health, Inc. (NasdaqGS:MGLN) (Moore, Darla Dee)"
"Abbott, Todd A.",Mitel Networks Corporation - Executive Vice President of Global Sales & Services,"Symbol Technologies, LLC (Guthart, Leo A.)"
"Abdalla, Zein ","PepsiCo Europe Support Center, S.L. - President of Pepsico Inc","PepsiCo, Inc. (NasdaqGS:PEP) (Martinez, Arthur C.)"
"Abdurrahman, Riko ",Visa Inc. - President Director of PT Visa Worldwide Indonesia,"NatWest Markets N.V. (Martinez, Arthur C.)"
"Abel, Gordon ","Dynasty Financial Partners, LLC - Chief Marketing Officer","The Advertising Council, Inc. (Abraham, Magid M.), The Advertising Council, Inc. (Baum, Herbert M.), The Advertising Council, Inc. (Kelly, Michael J.), The Advertising Council, Inc. (Kenny, David W.), The Advertising Council, Inc. (Matta, Serge ) and 3 Other Connections"
"Abernathy, Kathleen Quinn",ISO New England Inc. - Director,"Frontier Communications Corporation (NasdaqGS:FTR) (Elliott, Jerry V.), Frontier Communications Corporation (NasdaqGS:FTR) (Singer, Bradley Eric)"
"Abiri M.D., Michael M.",Mount Sinai Beth Israel - Chairman of Radiology Division and Member of Medical Board,"Mount Sinai Beth Israel (Batkin, Alan R.)"
"Abkairov, Nikolay","Qik, Inc. - Co-Founder and Chief Technology Officer","Qik, Inc. (Garrick, George R.)"
"Abney, David P.","United Parcel Service, Inc. - Executive Chairman","Macy's, Inc. (NYSE:M) (Sachse, Peter R.)"
"Abney, Michael D.",MPS Group Inc. - Former Director,"MPS Group Inc. (Moore, Darla Dee)"
"Aboaf, Eric Walter",State Street Corporation - Executive VP & CFO,"Citizens Bank, National Association (Segal, Eli J.)"
"Abony, Lorne K.","Aphria International Inc. - President, CEO & Director","FUN Technologies Inc. (Zeisser, Michael P.)"
"Aborn, Foster L.","Kairos Partners, L.P. - Associate","John Hancock Financial Services, Inc. (Connors, John M.), John Hancock Life Insurance Company, Inc. (Connors, John M.)"
"Abraham, Chad R.",Piper Sandler Companies - Chairman & CEO,"Piper Jaffray & Co. (Peterson, Robert Wayne)"
"Abraham, Jack ",Ever Co. - Founder & Director,"Milo.com, Inc. (Abraham, Magid M.)"
"Abraham, Paul J.","NAXION, Inc. - Chief Financial Officer and Senior Vice President","NAXION, Inc. (Lewis, Joan M.)"
"Abraham, Seth G.",MSG Networks Inc. - Former Chief Executive Officer of Radio City Entertainment,"NYC2012, Inc. (Stewart, Martha )"
"Abrahams, Michael ",Minorplanet Systems plc - Former Chairman,"Prudential plc (LSE:PRU) (Oliver Garrett, Michael William)"
"Abramowitz, Kenneth S.",NGN Capital - Co-Founder and Managing General Partner,"MultiPlan, Inc. (Goldstein, Michael )"
"Abramowitz, Morton",International Rescue Committee - Director,"International Rescue Committee (Batkin, Alan R.)"
"Abrams, David Charles","Abrams Capital, LLC - Founder, President and Director","Global Signal Inc. (Elliott, Jerry V.)"
"Abrams, George S.","HPT SN Holding, Inc. - Independent Director","CBS Corporation (NYSE:CBS) (Biondi, Frank J.), CBS Corporation (NYSE:CBS) (Goldner, Brian D.)"
"Abrams, Jonathan ","Nuzzel, Inc. - Chief Executive Officer and Founder","Friendster, Inc. (Doerr, L. John)"
"Abrams, Roberta ",Mount Sinai Beth Israel - Trustee,"Continuum Health Partners, Inc. (Batkin, Alan R.), Mount Sinai Beth Israel (Batkin, Alan R.), St. Luke's-Roosevelt Hospital Center (Batkin, Alan R.)"
"Abramson, Alan",St. Luke's-Roosevelt Hospital Center - Trustee,"St. Luke's-Roosevelt Hospital Center (Batkin, Alan R.)"
"Abramson, Leonard",The Brookings Institution - Honorary Trustee,"The Brookings Institution (Batkin, Alan R.)"
"Abruzzese, Joseph ",Discovery Networks U.S. - President,"The Advertising Council, Inc. (Abraham, Magid M.), The Advertising Council, Inc. (Baum, Herbert M.), The Advertising Council, Inc. (Kelly, Michael J.), The Advertising Council, Inc. (Kenny, David W.), The Advertising Council, Inc. (Matta, Serge ) and 3 Other Connections"
"Abtahi, Saeed ","Hunter Capital Group, LLC - Founder","CinemaNow Corporation (Burns, Michael R.)"
"Abuhoff, Jack S.","Innodata Inc. - Chairman, President & CEO","Software & Information Industry Association (Fuller, Dale L.)"
"Abu-Mostafa Ph.D., Yaser S.","Rexter, LLC - Member of Scientific Advisory Board","Rexter, LLC (Mohn, Jarl )"
"Accavitti, Michael J.","The Advertising Council, Inc. - Director","The Advertising Council, Inc. (Abraham, Magid M.), The Advertising Council, Inc. (Baum, Herbert M.), The Advertising Council, Inc. (Kelly, Michael J.), The Advertising Council, Inc. (Kenny, David W.), The Advertising Council, Inc. (Matta, Serge ) and 3 Other Connections"
"Accinno, Peter","Environmental Defense Fund, Inc. - Chief Financial Officer, Vice President of Administration, Vice President of Finance and Treasurer","Environmental Defense Fund, Inc. (Rosenwald, E. John)"
"Achleitner, Ann-Kristin ",ENGIE SA - Former Independent Director,"Investcorp Bank B.S.C. (BAX:INVCORP) (Zecher, Linda K.)"
"Achtmeyer, William F.","EY-Parthenon - Co-Founder, Chairman of the Board, Managing Partner & Senior MD","The Cue Ball Group, LLC (Hassenfeld, Alan G.)"
"Acker, Gerald H.","Bits And Pieces, Inc. - Director","Bits And Pieces, Inc. (Segal, Eli J.)"
"Ackerman Jr., Robert R.","AllegisCyber Capital - Founder, Managing Partner and Managing Director","LiveWorld, Inc. (OTCPK:LVWD) (Bronfin, Kenneth A.)"
"Ackerman, F. Duane","United Parcel Service of America, Inc. - Director","The Allstate Corporation (NYSE:ALL) (Greenberg, Jack M.)"
"Ackerman, James J.","Broadway Systems, LLC - Executive Chairman","OpenTV Corp. (Zeisser, Michael P.)"
"Ackermann, Hilary E.",Vistra Corp. - Independent Director,"Apollo Investment Corporation (NasdaqGS:AINV) (Harris, Mark Robert), Apollo Investment Corporation (NasdaqGS:AINV) (Malone, Claudine Berkeley), Apollo Investment Corporation (NasdaqGS:AINV) (Spielvogel, Carl )"
"Ackermann, Josef ",Bank of Cyprus Holdings Public Limited Company - Former Chairman of the Board,"Vodafone Group Plc (LSE:VOD) (Davis, Crispin Henry Lamert)"
"Ackermans, Willem ",Pareteum Corporation - Former Chief Financial Officer,"Pareteum Corporation (NasdaqCM:TEUM) (Kerrest, Jacques D.)"
"Ackman, Ronnie","Lincoln Center for the Performing Arts, Inc. - Director","Lincoln Center for the Performing Arts, Inc. (Spielvogel, Carl )"
"Ackman, William Albert","Pershing Square Capital Management, L.P. - Chief Executive Officer & Portfolio Manager","Bausch Health Companies Inc. (NYSE:BHC) (Ubben, Jeffrey Williams), J. C. Penney Company, Inc. (NYSE:JCP) (Kramer, Michael W.), J. C. Penney Company, Inc. (NYSE:JCP) (Laybourne, Geraldine B.), J. C. Penney Company, Inc. (NYSE:JCP) (West, Mary Beth Elizabeth Stone)"
"Acosta, Thomas I.",Mount Sinai Beth Israel - Trustee,"Continuum Health Partners, Inc. (Batkin, Alan R.), Mount Sinai Beth Israel (Batkin, Alan R.), St. Luke's-Roosevelt Hospital Center (Batkin, Alan R.)"
"Adamany CPA, Linda L.",Jefferies Financial Group Inc. - Independent Director,"Jefferies Group LLC (Goldstein, Michael ), National Grid USA (Smyth, Margaret M.)"
"Adame, Margaret Hayes","Movado Group, Inc. - Former Director","International Flavors & Fragrances Inc. (NYSE:IFF) (Martinez, Arthur C.)"
"Adamiyatt, Simon K.",J.P. Morgan Securities LLC - Head of FIG,"Bear, Stearns & Co. Inc. (Rosenwald, E. John)"
"Adams Jr., Hall ","Sears, Roebuck and Co. - Director","McDonald's Corporation (NYSE:MCD) (Greenberg, Jack M.), Moody's Corporation (NYSE:MCO) (Anderson, Basil L.), Sears, Roebuck and Co. (Martinez, Arthur C.)"
