Joseph Saul Steinberg > Jefferies Financial Group Inc. (NYSE:JEF) > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors),,
,,
1st Degree Table: 329 Connections,,
"Cernotta, Nicholas Luigi",Pilbara Minerals Limited - Independent Non-Executive Director,Fortescue Metals Group Limited (ASX:FMG)
"Chan, Lap Wai",MatlinPatterson Global Advisers LLC - Former Managing Partner,"Spectrum Brands Legacy, Inc."
"Chee, Menes Ong",The Blackstone Group Inc. - Senior Managing Director of Tactical Opportunities Group,Fidelity & Guaranty Life Insurance Company
"Cheliotis, Kostas ","Nassau Life Insurance Company - VP, Secretary, General Counsel & COO","Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Choksi, Mary Claire",Ashmore Equities Investment Management (US) LLC - Managing Director and Director,"White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Chomiak, Joanne P.","Spectrum Brands Legacy, Inc. - Director","Spectrum Brands Legacy, Inc."
"Christopher, Gregory L.","Mueller Industries, Inc. - Chairman of the Board & CEO","Mueller Industries, Inc. (NYSE:MLI)"
"Chu, Chinh E.",FGL Holdings - Founder & Co-Executive Chairman,Fidelity & Guaranty Life Insurance Company
"Clark Jr., Howard L.","Green Waste Energy, Inc. - Former Vice Chairman","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Clark Jr., Lawrence M.",Ecometals Limited - Advisor,"NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Clark Jr., Robert H.","Case Pomeroy & Co., Inc. - Chairman, Chief Executive Officer and President","The FINOVA Group, Inc."
"Cochran, Robert Phillips","Build America Mutual Assurance Company - MD, Director & Secretary","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Cohen, Fred Lewis",Fidelity & Guaranty Life - Former Director,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Colalucci CPA, Francis Michael","Specialty Underwriters' Alliance, Inc. - Director","Allcity Insurance Company, Empire Insurance Company"
"Collins, John Patrick",WilTel Communications Group Inc. - Director,WilTel Communications Group Inc.
"Considine, Timothy M.",HomeFed LLC - Former Independent Director,HomeFed Corporation (OTCPK:HOFD)
"Craig, John Anderson",CAE Inc. - Former Independent Director,WilTel Communications Group Inc.
"Cumming, Ian M.",WilTel Communications Group Inc. - Chairman,"Allcity Insurance Company, Crimson Wine Group, Ltd. (OTCPK:CWGL), Empire Insurance Company, Fortescue Metals Group Limited (ASX:FMG), HomeFed Corporation (OTCPK:HOFD), Jefferies Financial Group Inc. (NYSE:JEF)"
"Cumming, John D.","Crimson Wine Group, Ltd. - Independent Chairman of the Board","Crimson Wine Group, Ltd. (OTCPK:CWGL)"
"Cunningham, William H.",Lincoln National Corporation - Independent Non-Executive Chairman,WilTel Communications Group Inc.
"Daly, Terence P.",HomeFed LLC - Former Director,HomeFed Corporation (OTCPK:HOFD)
"Davis, Eugene Irwin",Bluestem Group Inc. - Executive Chairman,"SB/RH Holdings, LLC, Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Davis, Jeffrey Wayne","Sirius International Insurance Group, Ltd. - Executive VP, Chief Risk Officer & Chief Actuary",Empire Insurance Company
"Davis, Morgan Wesley",Post Capital Partners LLC - Executive Partner of Insurance & Financial Services,"White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Deering, Joseph W.","Trion, Inc. - Chairman","Spectrum Brands Legacy, Inc."
"DeFeo, Neil P.","Nonantum Capital Partners, LLC - Executive Partner","Spectrum Brands Legacy, Inc."
"DeLong, Patrick M.","Crimson Wine Group, Ltd. - Former President & CEO","Crimson Wine Group, Ltd. (OTCPK:CWGL)"
"Diament, Michael S.","NERA Economic Consulting, Inc. - Analyst",WilTel Communications Group Inc.
"Diepholz, Karen L.","Crimson Wine Group, Ltd. - Chief Financial Officer","Crimson Wine Group, Ltd. (OTCPK:CWGL)"
"Dillon, Michael",Fortescue Metals Group Limited - Former Director,Fortescue Metals Group Limited (ASX:FMG)
"Disalvo, Leonard ","Spectrum Brands Holdings, Inc. - Former Chief Financial Officer, Principal Accounting Officer and Vice President of Finance","NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Dodd, Gary",ZAP - Former President and Chief Executive officer of Zap Motor Manufacturing Kentucky,"Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Donovan, Elizabeth M.","Mueller Industries, Inc. - Independent Director","Mueller Industries, Inc. (NYSE:MLI)"
"Dooley, Richard G.",Kimco Realty Corporation - Former Lead Independent Director,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Dougan, Paul M.","Equity Oil Company - Former Chief Executive Officer, President and Director",Jefferies Financial Group Inc. (NYSE:JEF)
"Durham, G. Robert","Philips Oral Healthcare, Inc. - Chairman of the Board","MK Resources LLC, The FINOVA Group, Inc."
"Eichenfield, Samuel L.","FINOVA Capital Corporation - Former Chairman, President and CEO","The FINOVA Group, Inc."
"Eisfeld, Matthias",Jefferies Group LLC - Former Director,Jefferies Group LLC
"El-Ansary, Mohamed",Fortescue Metals Group Limited - Former Director,Fortescue Metals Group Limited (ASX:FMG)
"Elliott, Herbert James",Fortescue Metals Group Limited - Former Non-Executive Deputy Chairman,Fortescue Metals Group Limited (ASX:FMG)
"Ellison, Alec L.",OurCrowd Ltd. - Member of Advisory Board,Jefferies Group LLC
"Erving II, Julius W.","GTT Communications, Inc. - Independent Director",WilTel Communications Group Inc.
"Estus, Ian W.",AutoOne Insurance Company - Former Chairman & CEO,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Falcone, Philip A.",Fidelity & Guaranty Life - Former Chief Executive Officer,Fidelity & Guaranty Life
"Falcone, Philip Alan","HC2 Holdings, Inc. - Director","Fidelity & Guaranty Life Insurance Company, NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Farmer, John C.","MK Resources LLC - Chief Financial Officer, Principal Accounting Officer, Secretary, Treasurer and Controller",MK Resources LLC
"Fass, Steven Elliott","Folksamerica Holding Company, Inc. - President and Chief Executive Officer","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Federbush, Alexander P.","Mueller Industries, Inc. - Former Director","Mueller Industries, Inc. (NYSE:MLI)"
"Fisher, G. Robert","Jordan Industries International, LLC - Secretary and Director","Jordan Industries International, LLC"
"Flaherty, Paul J.","Mueller Industries, Inc. - Former Independent Director","Mueller Industries, Inc. (NYSE:MLI)"
"Fleming, Christopher Scott",Fidelity & Guaranty Life - Former Senior Vice President of Operations & Technology,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Foley II, William Patrick","Black Knight, Inc. - Chairman",Fidelity & Guaranty Life Insurance Company
"Forrest, John Andrew Henry",Fortescue Metals Group Limited - Founder & Chairman of the Board,Fortescue Metals Group Limited (ASX:FMG)
"Foulger, Christian E.",HomeFed LLC - President,HomeFed Corporation (OTCPK:HOFD)
"Foy, David Thomas",White Mountains Life Reinsurance (Bermuda) Ltd. - Director,"White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Frankcombe, Jamie R.",Whitehaven Coal Limited - Former Chief Operating Officer,Fortescue Metals Group Limited (ASX:FMG)
"Friedman, Brian Paul",Jefferies Financial Group Inc. - President & Director,"HomeFed Corporation (OTCPK:HOFD), Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Frinquelli, A. Michael","BofA Merrill Lynch, Research Division","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Fulvio, Gennaro John","Kotak Mahindra, Inc. - Financial & Operations Principal","Mueller Industries, Inc. (NYSE:MLI)"
"Gaines, Elizabeth Anne","Fortescue Metals Group Limited - CEO, MD & Executive Director",Fortescue Metals Group Limited (ASX:FMG)
"Gass, Phillip John","Nassau Life Insurance Company - President, CEO & Director","Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Gelston, Philip A.","White Mountains Insurance Group, Ltd. - Independent Director","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Gendron, Teresa S.",Jefferies Financial Group Inc. - VP & CFO,Jefferies Financial Group Inc. (NYSE:JEF)
"Genito, Anthony L.",Exide Technologies - Former CFO & Executive VP,"Spectrum Brands Legacy, Inc."
"Gfeller, Warren H.",Crestwood Equity Partners LP - Independent Lead Director of Crestwood Equity GP LLC,"Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Gilbert, Steven J.",Gilbert Global Equity Partners - Founder and Chairman,"Olympus Re Insurance Company, Ltd."
"Gillespie, George J.","Cravath, Swaine & Moore LLP - Former Partner","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Gillespie, John Davies","Prospector Partners, LLC - Founder, Portfolio Manager & Analyst","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Gilmartin, MaryAnne ",Jefferies Financial Group Inc. - Independent Director,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Gilmore, Robert Russell","Dakota Mining Corporation - Former Chief Financial Officer, Vice President - Finance and Secretary",MK Resources LLC
"Gladstein, Gary S.",Ignite Capital - Advisor,"Mueller Industries, Inc. (NYSE:MLI)"
"Glass, Corrine J.",Harbinger Capital Partners LLC - Vice President and Assistant Investment Counsel,"NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Glaubinger, Lawrence D.",Jefferies Financial Group Inc. - Former Director,Jefferies Financial Group Inc. (NYSE:JEF)
"Glazer Kassewitz, Darcie S.",Manchester United plc - Director,"Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Glazer, Avram A.",Manchester United plc - Executive Co-Chairman,"NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Glazer, Bryan G.",Buccaneers Limited Partnership - Co-Chairman,"Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Glazer, Edward S.",First Allied Corporation - President,"Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Glovier, Curtis A.",PENSCO Trust Company LLC - Chairman & CEO,"Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Goldman, Scott J.","TextPower, Inc. - Co-Founder and Chief Executive Officer","Mueller Industries, Inc. (NYSE:MLI)"
"Goldstein, Michael ",TriArtisan Capital Advisors LLC - Operating Executive,Jefferies Group LLC
"Grant, Jo Ann Anselmi",Fidelity & Guaranty Life Insurance Company - Former Director,Fidelity & Guaranty Life Insurance Company
"Gray, Glenn E.","CalWest Bancorp - Former President, CEO, Secretary & Director","The FINOVA Group, Inc."
"Gregson, Kevin Joseph",Nassau Life Insurance Company - Director,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Gruttemeyer, Christopher James","Empire Insurance Company - Former Senior VP, Treasurer & CFO","Allcity Insurance Company, Empire Insurance Company"
"Hallac, Haim Jimmy","Bank Pass - Co-founder, Chief Executive Officer",HomeFed Corporation (OTCPK:HOFD)
"Hallam, Paul Duncan",Powertrans Pty Ltd - Chief Executive Officer and Chairman of Advisory Board,Fortescue Metals Group Limited (ASX:FMG)
"Halldow, John R.","Spectrum Brands Holdings, Inc. - Former Independent Director","Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Hallinan, William J.",The FINOVA Group Inc. - Former President & CEO,"The FINOVA Group, Inc."
"Handler, Richard Brian",Jefferies Group LLC - Chairman & CEO,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Hansen, John B.","Mueller Industries, Inc. - Independent Director","Mueller Industries, Inc. (NYSE:MLI)"
"Harris, David S.",Steiner Leisure Limited - Independent Director,"Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Hegarty, Owen Leigh",EMR Capital Pty. Ltd. - Executive Chairman,Fortescue Metals Group Limited (ASX:FMG)
"Heil, John A.","Tempur Sealy International, Inc. - Independent Director","Spectrum Brands Legacy, Inc."
"Hermanson, Terry ","Mueller Industries, Inc. - Lead Independent Director","Mueller Industries, Inc. (NYSE:MLI)"
"Hershfield, Lawrence Scott","Ranch Capital, LLC - Chief Executive Officer","The FINOVA Group, Inc."
"Herzog Jr., Charles P.","Mueller Industries, Inc. - Independent Director","Mueller Industries, Inc. (NYSE:MLI)"
"Hirschfield, Alan J.",Data Broadcasting Corporation - Former Co-Chairman of the Board and Co-Chief Executive Officer,"Jefferies Financial Group Inc. (NYSE:JEF), WilTel Communications Group Inc."
"Hladek, Keith Michael","Harbinger Capital Partners LLC - Chief Operating Officer, Chief Compliance Officer & Chief Financial Officer","Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company, NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Hodes, Robert B.","Mueller Industries, Inc. - Former Director","Mueller Industries, Inc. (NYSE:MLI)"
"Holiday, Edith E.",Canadian National Railway Company - Independent Director,"White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Hollick, Clive R.",GP Bullhound LLP - Partner,Jefferies Group LLC
"Hudgins, Thomas M.","FXI, Inc. - Independent Director","Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Hussey, Kent J.","Nancy Creek Capital Management, LLC - Senior Operational Advisor and Member of Advisory Board","Spectrum Brands Legacy, Inc."
"Ianna, Frank ","Attila Technologies, LLC - Chief Executive Officer, President and Director","Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Ireland, Ross K.",Focus Ventures - Member of Advisory Board,WilTel Communications Group Inc.
"Jaeckel, Scott L.","Foundation Holdings, Inc. - Co-President","Spectrum Brands Legacy, Inc."
"James, Sherianne ","Spectrum Brands Legacy, Inc. - Director","Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Janzen M.S., Howard E.","Cool Planet Energy Systems, Inc. - Director",WilTel Communications Group Inc.
"Jenson, Peter Athol","Spectrum Brands Holdings, Inc. - Former Chief Operating Officer, Secretary and Director","Fidelity & Guaranty Life Insurance Company, NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Johnston, Daniel J.",United Industries Corporation - Executive VP & Director,"Spectrum Brands Legacy, Inc."
"Joklik, G. Frank",MK Resources LLC - Former Chairman of the Board and Chief Executive Officer,MK Resources LLC
"Jones III, David A.",Oak Hill Capital Partners - Senior Advisor and Operating Consultant,"Spectrum Brands Legacy, Inc."
"Jordan II, John Weaver","Jordan Industries International, LLC - Founder, Chairman, Chief Executive Officer and Director of Welcome Home","Jordan Industries International, LLC"
"Jordan Jr., James Edward","Florida East Coast Industries, LLC - Director","Allcity Insurance Company, Jefferies Financial Group Inc. (NYSE:JEF)"
"Joyal, Robert E.",Barings Corporate Investors - Trustee,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Kamsky, Virginia A.","Kamsky Associates, Inc. - Founder, Chairman & CEO","Spectrum Brands Legacy, Inc."
"Karp, Harvey L.","Mueller Industries, Inc. - Chairman Emeritus","Mueller Industries, Inc. (NYSE:MLI)"
"Katz, Jacob M.",Grant Thornton LLP - Former National Managing Partner of Financial Svcs Practice & Managing Partner of Northeast Region,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Keil, Jeffrey Craig",Knight Vinke Asset Management L.L.C. - Chairman of the Board of Directors,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC, WilTel Communications Group Inc."
"Kemp, Karl Thomas","Main Street America Holdings, Inc. - Director","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Kensil, Brian Eugene",White Mountains Re Bermuda Ltd. - CFO & Director,Empire Insurance Company
"Killian Jr., Raymond L.",Investment Technology Inc - Chairman,Jefferies Group LLC
"Kilrea, Jeffrey ","CIT Sponsor Finance - Managing Director, Group Head and Co-Head","The FINOVA Group, Inc."
"Kinnear, Ken ","WilTel Communications Group Inc. - Principal Financial Officer, Vice President, and Controller",WilTel Communications Group Inc.
"Kirschner, Marc S.","Resurgence Asset Management, L.L.C - Managing Director and General Counsel","Spectrum Brands Legacy, Inc."
"Krishnan, Rajesh ",Fidelity & Guaranty Life Insurance Company - Chief Investment Officer,Fidelity & Guaranty Life Insurance Company
"Kuehn, Robert Peter","Sirius America Insurance Company - President, General Counsel & Director",Empire Insurance Company
"Kunz, Daniel James","Gold Torrent, Inc. - Former CEO & Executive Chairman",MK Resources LLC
"Launer Jr., Leland Convis",Nassau Life Insurance Company - Director,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Lawless, Robert W.",University of Tulsa Endowment - Former President,WilTel Communications Group Inc.
"Leffler Jr., Robert V.","HC2 Holdings, Inc. - Independent Director","Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Lewis, Randal D.","Petmatrix, LLC - Former President & CEO","Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Lilleyman, Greg S.",Fortescue Metals Group Limited - Chief Operating Officer,Fortescue Metals Group Limited (ASX:FMG)
"Linegar, Christopher ","Key Ovation, LLC - Chairman",Fortescue Metals Group Limited (ASX:FMG)
"Lingenfelder, Terry ",HomeFed LLC - Former Director,HomeFed Corporation (OTCPK:HOFD)
"Littlefield, Christopher James",Fidelity & Guaranty Life - Former President & CEO,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Liu, Sherry ",NatWest Markets Plc - Chairman of Rbs Group In China and Chief Executive Officer of Rbs Group In China,Jefferies Group LLC
"Lobatz, Michael A.",HomeFed LLC - Former Independent Director,HomeFed Corporation (OTCPK:HOFD)
"Lubar, Sheldon Bernard","Lubar & Co., Inc. - Founder and Chairman",Jefferies Group LLC
"Lumley, David R.","Spectrum Brands Legacy, Inc. - Former Director","SB/RH Holdings, LLC, Spectrum Brands Legacy, Inc."
"Lupo, John S.","Citi Trends, Inc. - Former Chairman & Lead Independent Director","Spectrum Brands Legacy, Inc."
"Luterman, Gerald ",NYU Langone Hospital-Brooklyn - Vice Chair of Board of Trustees,"Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"Lymburn, David Andrew","AnaeCo Limited - Former MD, CEO, Company Secretary & Executive Director",Fortescue Metals Group Limited (ASX:FMG)
"Macchiarola, Frank J.",America's Natural Gas Alliance - Former Executive Vice President of Government Affairs,Jefferies Group LLC
"Mackin, B. John","Spectrum Brands Holdings, Inc. - Former Chairman","Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"MacKlin, Gordon S.","MedImmune, LLC - Former Corporate Financial Advisor and Director","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Malcolm, Steven J.","Vianini Pipe, Inc. - Chief Engineer",WilTel Communications Group Inc.
"Mara, Thomas Edward",MK Resources LLC - President and Director,"Allcity Insurance Company, Empire Insurance Company, MK Resources LLC, The FINOVA Group, Inc."
"Marhoun Esq., Eric Lund","Fidelity & Guaranty Life Insurance Company - Executive VP, General Counsel & Secretary",Fidelity & Guaranty Life Insurance Company
"Marszowski, Bruno A.",The FINOVA Group Inc. - Senior VP & CFO,"The FINOVA Group, Inc."
"Martin, Douglas L.","Spectrum Brands Legacy, Inc. - Former Executive VP & CFO","SB/RH Holdings, LLC, Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Martin, Erle ","Pine Ridge Winery, LLC - Chief Executive Officer and President","Crimson Wine Group, Ltd. (OTCPK:CWGL)"
"Martin, Jeffrey A.","Mueller Industries, Inc. - CFO & Treasurer","Mueller Industries, Inc. (NYSE:MLI)"
"Massey, Richard Nelson",Westrock Capital - Partner,Fidelity & Guaranty Life Insurance Company
"Matthews, Norman S.","Freeman Spogli Management Co., L.P. - Senior Advisor and Industry Executive","SB/RH Holdings, LLC, Spectrum Brands Legacy, Inc."
"Maura, David M.","Spectrum Brands Legacy, Inc. - Chairman & CEO","SB/RH Holdings, LLC, Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"McCarron, Francis T.",The Wendy's Company - Former Chief Financial Officer and Executive Vice President,"NZCH Corporation, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"McKee, Kent A.",Mueller Brass Co. - Treasurer,"Mueller Industries, Inc. (NYSE:MLI)"
"McKeown, John M.","NZCH Corporation - Senior VP, Treasurer & Director",NZCH Corporation
"McKnight, Andrew A.",Fortress Investment Group LLC - Managing Partner of Credit Funds Business,"Fidelity & Guaranty Life, Spectrum Brands Holdings, Inc. (NYSE:SPB)"
"McLaren, Shannon B.","Crimson Wine Group, Ltd. - Former CFO & Principal Accounting Officer","Crimson Wine Group, Ltd. (OTCPK:CWGL)"
"McLaughlin, Ed",WilTel Communications Group Inc. - Former Senior Vice President of Operations,WilTel Communications Group Inc.
"Meinig, Peter C.","Qorval, LLC - Member of the Advisory Board",WilTel Communications Group Inc.
"Melchionni, William Peter",Fidelity & Guaranty Life - Former Director,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Meurs, Peter Fletcher",Fortescue Metals Group Limited - Former Executive Director,Fortescue Metals Group Limited (ASX:FMG)
"Minosora, Michael John",Golden Deeps Limited - Former Executive Chairman,Fortescue Metals Group Limited (ASX:FMG)
"Miscoll, James P.",MK Resources LLC - Director,MK Resources LLC
"Morgan, R. Gregory","Munger, Tolles & Olson LLP - Former Co-Managing Partner","The FINOVA Group, Inc."
"Morris OAM, Jennifer ",Fortescue Metals Group Limited - Non-Executive Director,Fortescue Metals Group Limited (ASX:FMG)
"Muthler, Christian",Jefferies Group LLC - Former Director,Jefferies Group LLC
